time, temperature, dwpf, humidity, direction, speed, precipitation, pressure,total count,arrest rate,sex offense,theft,assault and battery,burglary,robbery,substance,homicide,gambling,prostitution,arson,domestic violence,others
6/12/01,77.375,67.16666667,72.03,172.0689655,7.172413793,0.36,29.15041667,2,1,2,2,2,1,2,1,2,2,2,2,1,1
6/13/01,84.54166667,68.5,60.00541667,191.25,10.79166667,0,29.17125,2,1,1,2,2,1,1,1,1,1,1,1,1,2
6/14/01,81.58333333,67.79166667,65.85208333,181.0714286,9.285714286,0.26,29.17916667,2,1,1,2,2,1,1,1,2,1,1,2,1,2
6/15/01,70.95833333,60.45833333,70.46458333,255.7692308,9.153846154,0,29.25333333,2,1,2,2,2,1,1,1,1,1,2,2,1,2
6/16/01,75.66666667,56.75,53.48583333,226.25,7.375,0,29.42666667,2,1,1,1,2,1,1,2,1,1,2,1,1,2
6/17/01,79.79166667,54.83333333,44.12666667,170,6.730769231,0.01,29.47041667,2,1,1,1,2,2,2,2,2,1,2,2,1,2
6/18/01,83.08333333,61.95833333,51.29958333,205.8333333,14.25,0.045,29.33,2,1,1,2,2,2,1,1,1,2,1,2,1,2
6/19/01,74.08333333,58.58333333,58.5975,136.6666667,8.666666667,0,29.46,2,2,2,2,2,1,2,2,2,1,2,2,1,2
6/20/01,70.33333333,50.875,50.89916667,129.5833333,4.708333333,0.03,29.51708333,2,1,1,2,2,1,1,2,1,2,1,1,1,2
6/21/01,61.125,54.16666667,78.74958333,138.6666667,5.733333333,0.051666667,29.36666667,1,2,2,2,1,2,1,1,2,2,2,1,1,1
6/22/01,60.54166667,52.375,76.25833333,57.77777778,5.851851852,0,29.39666667,2,2,1,2,2,1,1,2,2,2,1,1,1,2
6/23/01,65.45833333,52.625,64.6875,116.6666667,4.833333333,0,29.4575,1,1,2,1,2,2,1,1,2,1,1,2,1,2
6/24/01,73.08333333,54.5,53.98916667,178.75,6.125,0,29.52375,1,1,2,1,2,2,1,1,2,1,1,1,1,1
6/25/01,77.91666667,56.5,49.14375,189.1666667,6.666666667,0,29.545,2,1,1,2,2,1,2,1,1,2,1,1,1,2
6/26/01,78.375,56.33333333,48.41,98.75,5,0,29.58583333,2,2,2,1,2,1,1,2,2,2,2,2,1,1
